game_id,action_id,period_id,time_seconds,team_id,player_id,result_name,start_x,start_y,end_x,end_y,dx,dy,type_name,player_name_ko,team_name_ko,position_name,main_position
126288,2330,2,1850.867,2353,356612,Successful,78.87947,51.82817,89.49318,49.41839,10.61372,-2.40978,Pass,원두재,김천 상무 프로축구단,CDM,CM
126288,2331,2,1852.333,2353,356619,,89.49318,49.41839,77.93509,57.66359,-11.5581,8.245204,Pass Received,김재우,김천 상무 프로축구단,CB,CB
126288,2332,2,1852.333,2353,356619,Unsuccessful,89.49318,49.41839,77.93509,57.66359,-11.5581,8.245204,Pass,김재우,김천 상무 프로축구단,CB,CB
126288,2333,2,1853.233,4644,62112,,78.38534,59.74528,78.38534,59.74528,0,0,Error,세징야,대구FC,LW,CF
126288,2334,2,1854.5,2353,356618,,81.17235,50.54732,60.11418,49.41982,-21.0582,-1.12751,Recovery,김진규,김천 상무 프로축구단,CM,CM
126288,2335,2,1854.5,2353,356618,Successful,81.17235,50.54732,60.11418,49.41982,-21.0582,-1.12751,Pass,김진규,김천 상무 프로축구단,CM,CM
126288,2336,2,1855.867,2353,356623,,60.11418,49.41982,60.11418,49.41982,0,0,Pass Received,김민준,김천 상무 프로축구단,RW,RW
126288,2337,2,1855.868,2353,356623,,60.11418,49.41982,45.70199,32.11327,-14.4122,-17.3065,Carry,김민준,김천 상무 프로축구단,RW,RW
126288,2338,2,1860.4,2353,356623,Successful,45.70199,32.11327,37.19825,34.49864,-8.50374,2.385372,Pass,김민준,김천 상무 프로축구단,RW,RW
126288,2339,2,1860.833,2353,356624,,37.19825,34.49864,37.19825,34.49864,0,0,Pass Received,강현묵,김천 상무 프로축구단,CM,CM
126288,2340,2,1860.834,2353,356624,,37.19825,34.49864,19.93898,42.36087,-17.2593,7.862228,Carry,강현묵,김천 상무 프로축구단,CM,CM
126288,2341,2,1864.967,2353,356624,On Target,19.93898,42.36087,4.23443,36.46085,-15.7045,-5.90002,Shot,강현묵,김천 상무 프로축구단,CM,CM
126288,2342,2,1865.733,4644,62082,,4.23443,36.46085,4.23443,36.46085,0,0,Parry,최영은,대구FC,,GK
126288,2343,2,1868.733,4644,62082,,4.23443,36.46085,4.23443,36.46085,0,0,Out,최영은,대구FC,,GK
126288,2344,2,1927.533,2353,356623,Successful,0.45654,67.44063,4.739175,28.82547,4.282635,-38.6152,Pass_Corner,김민준,김천 상무 프로축구단,RW,RW
126288,2345,2,1929.367,2353,356612,,4.739175,28.82547,0,31.08323,-4.73918,2.257758,Pass Received,원두재,김천 상무 프로축구단,CDM,CM
126288,2346,2,1929.367,2353,356612,Goal,4.739175,28.82547,0,31.08323,-4.73918,2.257758,Shot,원두재,김천 상무 프로축구단,CDM,CM
